batter_id,player_age,season,is_playing,bbe,at_bats,plate_apps,games,bbe_prev,at_bats_prev,plate_apps_prev,is_first_year,train
-176794,24.753586682729164,1950,1,220,235,259,76,0,0,0,True,True
-176604,28.729054868031977,1950,1,197,215,236,71,0,0,0,True,False
-176593,30.03778337531486,1950,1,580,639,704,161,0,0,0,True,True
-176544,30.672982148724127,1950,1,474,506,624,131,0,0,0,True,True
-176327,29.25747453729055,1950,1,497,530,614,151,0,0,0,True,True
-176299,34.152885773737815,1950,1,251,267,286,89,0,0,0,True,True
-176273,32.616909429416275,1950,1,155,196,230,79,0,0,0,True,True
-176245,34.916767057277404,1950,1,76,92,101,46,0,0,0,True,True
-176183,30.801664658854452,1950,1,135,159,179,71,0,0,0,True,True
-176162,26.87274121125835,1950,1,21,28,35,18,0,0,0,True,False
-176126,21.35308290439163,1950,1,291,325,355,82,0,0,0,True,True
-176114,31.445077209506078,1950,1,36,41,45,12,0,0,0,True,True
-176066,30.092541890263934,1950,1,182,197,224,83,0,0,0,True,True
-176058,25.49830248603658,1950,1,480,559,635,142,0,0,0,True,True
-176001,29.4792465228343,1950,1,102,108,125,43,0,0,0,True,True
-175960,25.528419669258568,1950,1,233,242,273,78,0,0,0,True,True
-175866,29.520315409046106,1950,1,536,573,666,151,0,0,0,True,False
-175863,32.64155076114336,1950,1,335,379,429,122,0,0,0,True,False
-175859,32.63059905815354,1950,1,130,143,158,57,0,0,0,True,True
-175764,23.12725878874165,1950,1,515,542,556,136,0,0,0,True,True
-175759,38.226919285948966,1950,1,156,172,187,73,0,0,0,True,True
-175737,25.04380681195926,1950,1,196,229,258,87,0,0,0,True,True
-175728,39.64242689738254,1950,1,256,273,319,91,0,0,0,True,True
-175678,23.918519329755778,1950,1,161,205,244,69,0,0,0,True,True
-175535,37.39185193297558,1950,1,258,283,315,93,0,0,0,True,True
-175525,28.76738582849633,1950,1,500,522,595,134,0,0,0,True,True
-175461,33.506735297338736,1950,1,156,177,201,66,0,0,0,True,True
-175401,23.7159128244442,1950,1,68,78,90,53,0,0,0,True,True
-175390,23.721388675939107,1950,1,7,10,12,5,0,0,0,True,False
-175387,24.238856642207864,1950,1,494,543,625,147,0,0,0,True,True
-175337,25.824115649983572,1950,1,284,307,346,95,0,0,0,True,True
-175293,28.353959040630816,1950,1,408,449,506,130,0,0,0,True,True
-175276,27.10272697404446,1950,1,84,98,104,40,0,0,0,True,True
-175097,25.665315956631254,1950,1,5,6,6,3,0,0,0,True,False
-175031,33.23841857408827,1950,1,252,288,329,106,0,0,0,True,True
-175019,33.13437739568503,1950,1,172,185,214,68,0,0,0,True,True
-175016,33.06592925199868,1950,1,138,147,165,61,0,0,0,True,False
-174918,24.843938232395136,1950,1,32,37,39,19,0,0,0,True,True
-174898,23.14368634322637,1950,1,5,8,9,3,0,0,0,True,True
-174893,23.551637279596978,1950,1,159,191,206,64,0,0,0,True,True
-174885,24.529076771437957,1950,1,116,125,141,50,0,0,0,True,True
-174832,34.3965611652612,1950,1,352,389,448,126,0,0,0,True,True
-174798,22.037564341255063,1950,1,34,37,40,35,0,0,0,True,True
-174773,29.304019274997263,1950,1,302,307,347,108,0,0,0,True,True
-174741,30.42656883145329,1950,1,8,8,13,5,0,0,0,True,True
-174737,33.49304566860147,1950,1,327,384,433,109,0,0,0,True,True
-174720,28.214324827510676,1950,1,304,367,427,111,0,0,0,True,True
-174671,29.952907677143795,1950,1,65,73,84,32,0,0,0,True,False
-174646,33.460190559632025,1950,1,392,427,482,126,0,0,0,True,True
-174462,32.756543642536414,1950,1,322,330,381,111,0,0,0,True,True
-174409,24.712517796517357,1950,1,107,133,156,60,0,0,0,True,True
-174387,25.766619209287043,1950,1,383,409,489,130,0,0,0,True,False
-174383,26.259445843828715,1950,1,36,44,48,31,0,0,0,True,True
-174368,23.847333260321978,1950,1,519,549,601,133,0,0,0,True,False
-174325,27.551746796626876,1950,1,593,620,723,152,0,0,0,True,True
-174307,26.17457014565765,1950,1,5,5,6,3,0,0,0,True,True
-174304,33.747672763114664,1950,1,111,138,162,44,0,0,0,True,True
-174211,27.653050049282662,1950,1,398,495,597,143,0,0,0,True,True
-174207,22.185412331617567,1950,1,23,35,38,12,0,0,0,True,True
-174205,23.543423502354617,1950,1,6,6,7,5,0,0,0,True,True
-174183,29.911838790931988,1950,1,407,441,482,118,0,0,0,True,True
-174033,20.20589201620852,1950,1,13,14,17,4,0,0,0,True,True
-173941,25.1834410250794,1950,1,163,174,185,55,0,0,0,True,True
-173919,28.471689847771326,1950,1,6,8,9,3,0,0,0,True,True
-173892,28.901544190121562,1950,1,56,67,74,31,0,0,0,True,True
-173851,31.82017303690724,1950,1,453,482,517,129,0,0,0,True,True
-173848,22.251122549556456,1950,1,430,506,601,148,0,0,0,True,True
-173795,25.717336545832875,1950,1,526,555,590,138,0,0,0,True,True
-173752,18.653488117402254,1950,1,3,4,4,1,0,0,0,True,True
-173714,27.590077757091226,1950,1,483,564,693,155,0,0,0,True,True
-173672,27.56269849961669,1950,1,472,523,589,160,0,0,0,True,False
-173642,29.78041835505421,1950,1,525,557,628,151,0,0,0,True,True
-173623,33.577921366772536,1950,1,23,29,33,13,0,0,0,True,True
-173581,22.897273025955535,1950,1,27,29,31,11,0,0,0,True,False
-173573,27.76804293067572,1950,1,643,661,747,162,0,0,0,True,False
-173535,29.865294053225277,1950,1,194,214,234,96,0,0,0,True,True
-173426,33.983134377395686,1950,1,421,491,611,135,0,0,0,True,True
-173400,24.786441791698607,1950,1,588,629,700,162,0,0,0,True,True
-173399,24.91786222757639,1950,1,26,27,30,13,0,0,0,True,True
-173320,31.748986967473442,1950,1,306,337,384,111,0,0,0,True,True
-173267,33.34793560398642,1950,1,505,601,662,145,0,0,0,True,True
-173262,23.22582411564998,1950,1,64,72,80,46,0,0,0,True,False
-173248,25.72828824882269,1950,1,161,185,193,68,0,0,0,True,False
-173180,24.299091008651846,1950,1,89,115,124,35,0,0,0,True,True
-173153,31.258898258679224,1950,1,344,386,446,114,0,0,0,True,True
-173011,28.463476070528966,1950,1,261,323,376,114,0,0,0,True,False
-173009,30.09801774175884,1950,1,199,231,269,85,0,0,0,True,False
-172971,20.277078085642316,1950,1,4,5,5,5,0,0,0,True,True
-172969,30.80714051034936,1950,1,7,9,9,10,0,0,0,True,True
-172944,33.865403570255175,1950,1,337,356,410,129,0,0,0,True,True
-172915,33.169970430401925,1950,1,324,332,375,108,0,0,0,True,True
-172833,26.15266673967802,1950,1,504,579,667,158,0,0,0,True,False
-172809,33.82981053553828,1950,1,379,412,461,119,0,0,0,True,True
-172664,30.05147300405213,1950,1,271,298,343,97,0,0,0,True,True
-172638,37.27138320008761,1950,1,150,156,184,75,0,0,0,True,True
-172613,27.119154528529187,1950,1,11,15,18,11,0,0,0,True,True
-172573,29.821487241266016,1950,1,375,428,484,135,0,0,0,True,True
-172508,27.6448362720403,1950,1,412,452,530,134,0,0,0,True,True
-172482,24.594786989376846,1950,1,369,432,464,110,0,0,0,True,True
-172457,22.883583397218267,1950,1,27,33,36,9,0,0,0,True,True
-172326,23.094403679772203,1950,1,621,657,707,162,0,0,0,True,False
-172201,30.27324498959588,1950,1,11,20,24,9,0,0,0,True,True
-172172,37.632789398751505,1950,1,248,260,282,90,0,0,0,True,True
-172158,23.852809111816885,1950,1,556,584,691,162,0,0,0,True,True
-172042,30.054210929799584,1950,1,169,201,230,77,0,0,0,True,True
-171967,32.794874603000764,1950,1,464,496,580,138,0,0,0,True,False
-171966,35.2781732559413,1950,1,334,380,443,123,0,0,0,True,False
-171955,24.189573978753696,1950,1,412,438,500,114,0,0,0,True,True
-171905,28.564779323184755,1950,1,421,498,557,150,0,0,0,True,True
